co,dew,h,no2,p,pm10,pm25,r,t,w,timestamp
0.1,9.2,39.5,6.9,994.7,13,21,99.0,23.8,3,
0.1,16.3,84.4,6.4,985.4,18,57,0.3,19.0,4,2025-08-21T19:31:38.840036+00:00
