co,h,no2,o3,p,pm10,pm25,so2,t,w,timestamp
8.2,94,7.4,26.0,1011,52,107,3.6,25,0.5,
6.4,94,12.8,2.9,1005,10,25,1.1,24,0.5,2025-08-21T19:31:39.929629+00:00
