co,h,no2,p,pm10,so2,t,w,wg,timestamp
5.0,59,6.8,1010.6,13,2.8,21.6,2,6,
5.7,88,15.4,1003.3,25,2.8,19.4,1,2,2025-08-21T19:31:37.572910+00:00
